facultad,duracion
"Facultad de Ciencias Económicas, Jurídicas y Sociales",7.5
Facultad de Ciencias Físico Matemáticas y Naturales,7.4
Facultad de Ciencias Físico Matemáticas y Naturales - Facultad de Ciencias Económicas Jurídicas y Sociales,2.0
Facultad de Ciencias Humanas,6.5
Facultad de Ciencias de la Salud,7.2
Facultad de Ingeniería y Ciencias Agropecuarias,8.7
Facultad de Psicología,9.6
Facultad de Química Bioquímica y Farmacia,7.9
Facultad de Turismo y Urbanismo,4.1
"Instituto Politécnico y Artístico Universitario ""M.A.López""",4.8
