facultad,egresados
Facultad de Química Bioquímica y Farmacia,3978
Facultad de Ciencias Humanas,3399
Facultad de Ciencias Físico Matemáticas y Naturales,2610
Facultad de Ciencias de la Salud,2127
Facultad de Psicología,1858
"Instituto Politécnico y Artístico Universitario ""M.A.López""",1653
"Facultad de Ciencias Económicas, Jurídicas y Sociales",1466
Facultad de Ingeniería y Ciencias Agropecuarias,1266
Facultad de Turismo y Urbanismo,349
Facultad de Ciencias Físico Matemáticas y Naturales - Facultad de Ciencias Económicas Jurídicas y Sociales,2
